term,caseName,justiceId,speakerName,text,cleanText,duration,decidedBy,arguedOn,petitioner,respondent,docket,grantedOn,decidedOn,justice,partyWinning,direction,majority,vote
2017,Minnesota Voters Alliance v. Mansky,115,Neil Gorsuch,"Mr. -- Mr. Breemer -- -- passive versus active sounds a lot like the act/omission distinction, and that has proven to be one of the most slippery concepts in all of law. Is it an act to put on a button or is it an omission to not speak about what's on the button? A T-shirt, you say, is passive. What if it were instead a sign on my head, you know, flashing lights? Is that active or is that passive? How are we supposed to police the line you're -- you're suggesting? Is there -- is there any evidence -- usually, in First Amendment cases, we're concerned about overbreadth because of the chilling effect that's often undocumented. And the burden is usually on the state to justify a compelling interest rather than the other way around. And so I guess my question for you is it sounds like Minnesota's law is a bit of an outlier compared to most of the country's. There may be nine states or so with -- with a statute that goes this far. Is there any documented need for a statute to go this far as opposed to what happens in most other states, which is limited to electioneering? Okay, 11. Whatever number it is, it's a minority number. And under your interpretation of ""political,"" it would forbid people from wearing certain portions of the Bill of Rights into a polling place but not other portions of the Bill of Rights. And I guess I'm just wondering what compelling interest Minnesota has identified that requires a statute that goes so much further than the vast majority of states? What evidence do we have? What record is there? What facts can you point to? Again, Burson was electioneering, a different statute, and you're asking us to go a step further than Burson. And I'm just wondering what -- what do you have? And if the answer is nothing further than Burson, that's fine; that's an answer. Political speech beyond solicitation for candidates or things on the ballot, right? Okay. ",mr mr breemer passive versus active sound a lot like the actomission distinction and that have prove to be one of the most slippery concept in all of law be it an act to put on a button or be it an omission to not speak about what be on the button a t shirt you say be passive what if it we be instead a sign on my head you know flash light be that active or be that passive how be we suppose to police the line you be you be suggest be there be there any evidence usually in first amendment case we be concern about overbreadth because of the chill effect that be often undocumented and the burden be usually on the state to justify a compelling interest rather than the other way around and so i guess my question for you be it sound like minnesota s law be a bit of an outlier compare to most of the country s there may be nine state or so with with a statute that go this far be there any document need for a statute to go this far as oppose to what happen in most other state which be limit to electioneer okay whatever number it be it be a minority number and under your interpretation of political it would forbid people from wear certain portion of the bill of right into a polling place but not other portion of the bill of right and i guess I be just wonder what compel interest minnesota have identify that require a statute that go so much further than the vast majority of state what evidence do we have what record be there what facts can you point to again burson be electioneer a different statute and you be ask us to go a step far than burson and I be just wonder what what do you have and if the answer be nothing far than burson that be fine that be an answer political speech beyond solicitation for candidate or thing on the ballot right okay ,116.24,Roberts Court,"Feb 28, 2018","Minnesota Voters Alliance, et al.","Joe Mansky, et al.",16-1435,"Nov 13, 2017","Jun 14, 2018",115.0,1.0,0.0,0.0,0
2017,McCoy v. Louisiana,115,Neil Gorsuch,"Well -- But, Mr. Waxman, if we have to draw a line, it seems to me we have at least two axes we have to worry about. One is, where do we stop on the concession? You say it goes down to elements. I -- I -- I press you why it wouldn't go further than that, if the client instructs the lawyer not to accede to admission of a piece of evidence as particularly damning but the lawyer sees no good faith basis for objecting. -- why -- why doesn't it go down to that level? That's one axis. The other axis would be you say it's -- the lawyer can't admit the element. But what if the lawyer casts doubt on the element? I mean, what if the lawyer here hadn't admitted guilt but had presented a mens rea defense that really cast aspersions on the actus reus defense, right, it really cast -- any reasonable person would know what the lawyer is up to. He didn't use the magic words ""I admit,"" but he did, in fact, essentially do that. So we have ambiguity on both these axes. Where would we draw the lines? But sometimes -- sometimes -- sometimes, though, a piece of evidence is far more important than an element. Take -- take the Chief Justice's example of a Hobbs Act. I mean, the interstate commerce element is usually not that big a deal in those cases. But admission of a piece, a letter or, you know, an admission by the defendant is a huge deal. I know. Mr. Waxman, I -- I -- -- think you're right about that, but my question would be -- I'm sorry. On that, it seems to me that that's Faretta, right? That you have a right to control your self-representation if you're unhappy with your lawyer. The -- your client had an opportunity to -- this is on his second lawyer. And he -- he had notice before trial that there was a breakdown with his lawyer. And the trial court ruled he -- he came too late to replace him with a third lawyer yet or to go to self-representation. Why isn't this just an untimely Faretta problem, accepting everything you've said about the original understanding? At some point, one can waive these rights too. These are personal rights that could be waived. Counsel, you've been asking us to review this under Strickland, but why -- why isn't this a structural error? The Sixth Amendment guarantees the assistance of counsel, as Mr. Waxman points out, and that is a fiduciary relationship. And when someone doesn't just admit an element but admits guilt of second-degree murder, which is effectively what happened here, why isn't that structural error, a total denial of assistance of counsel, absence of an assistance of counsel, that we should take cognizance of and draw the line there? Well, why -- why isn't this just like Faretta, where we said, you know, that you have a right to have assistance of counsel and not to have an agent of the state assist the state in prosecuting you? You'd agree, though, that he -- he effectively conceded guilt to second-degree murder? Well, if -- if we're there, though, in Strickland, even in Strickland, on deficient performance, why isn't there at least deficient performance here by the lawyer admitting the element as opposed to remaining mute about it? That would have been an option that I think the lawyer could have pursued. So we'd still have prejudice prong, I understand your arguments there, but why not on deficient performance? I would have thought under the ethical rules, which I know are not controlling here, that you -- you would have had an argument for an ethical violation in conceding your client's guilt. Well, let's take Justice Kagan's hypothetical then on its own terms. What would be the outcome in that case? Let's posit all of that, that we have a competent, rational, thoughtful individual who makes a calculated decision autonomously, that that's the route he or she wishes to go. Is it -- can we even call it assistance of counsel? Is that what it is when a lawyer overrides that person's wishes? ",well but mr waxman if we have to draw a line it seem to me we have at least two axes we have to worry about one be where do we stop on the concession you say it go down to element i i i press you why it would not go far than that if the client instruct the lawyer not to accede to admission of a piece of evidence as particularly damn but the lawyer see no good faith basis for object why why do not it go down to that level that be one axis the other axis would be you say it be the lawyer can not admit the element but what if the lawyer cast doubt on the element i mean what if the lawyer here have not admit guilt but have present a men rea defense that really cast aspersion on the actus reus defense right it really cast any reasonable person would know what the lawyer be up to he do not use the magic word i admit but he do in fact essentially do that so we have ambiguity on both these ax where would we draw the line but sometimes sometimes sometimes though a piece of evidence be far more important than an element take take the chief justice s example of a hobbs act i mean the interstate commerce element be usually not that big a deal in those case but admission of a piece a letter or you know an admission by the defendant be a huge deal i know mr waxman i i think you be right about that but my question would be I be sorry on that it seem to me that that be faretta right that you have a right to control your self representation if you be unhappy with your lawyer the your client have an opportunity to this be on his second lawyer and he he have notice before trial that there be a breakdown with his lawyer and the trial court rule he he come too late to replace him with a third lawyer yet or to go to self representation why be not this just an untimely faretta problem accept everything you have say about the original understanding at some point one can waive these right too these be personal right that could be waive counsel you have be ask us to review this under strickland but why why be not this a structural error the sixth amendment guarantee the assistance of counsel as mr waxman point out and that be a fiduciary relationship and when someone do not just admit an element but admit guilt of second degree murder which be effectively what happen here why be not that structural error a total denial of assistance of counsel absence of an assistance of counsel that we should take cognizance of and draw the line there well why why be not this just like faretta where we say you know that you have a right to have assistance of counsel and not to have an agent of the state assist the state in prosecute you you would agree though that he he effectively concede guilt to second degree murder well if if we be there though in strickland even in strickland on deficient performance why be not there at least deficient performance here by the lawyer admit the element as oppose to remain mute about it that would have be an option that i think the lawyer could have pursue so we would still have prejudice prong i understand your argument there but why not on deficient performance i would have think under the ethical rule which i know be not control here that you you would have have an argument for an ethical violation in concede your client s guilt well let us take justice kagan s hypothetical then on its own term what would be the outcome in that case let us posit all of that that we have a competent rational thoughtful individual who make a calculated decision autonomously that that be the route he or she wish to go be it can we even call it assistance of counsel be that what it be when a lawyer override that person s wish ,232.6,Roberts Court,"Jan 17, 2018",Robert McCoy,State of Louisiana,16-8255,"Sep 28, 2017","May 14, 2018",115.0,1.0,0.0,0.0,0
2017,Benisek v. Lamone,115,Neil Gorsuch,"Counsel -- Counsel, one question I have about causation for you. Before the district court, it appeared that you conceded that you had to prove but-for causation, that but for the alleged gerrymander, the outcome would have been different in these last three elections. And the district court expressly rejected a lower standard, rejecting some metaphysical could-be burden in favor of the but-for cause test. In this Court, you seem to now be backing away from the but-for cause requirement, as best I can tell, in favor of something the district court might have described differently. And I wonder how could it be an abuse of discretion for the district court to have proceeded on the basis of a concession before it that you're now backing away from? I understand that. But before the district court, you took the position that you had to prove it, according to the district court's opinion. According to -- your brief is saying our burden is to show. Right. So the district court twisted your concession? No. What it said was -- it didn't say that. So I think you're twisting perhaps what the district court said. What the district court quoted you as saying is our burden is to show that purposeful dilution was a but-for cause of the losses in 2012, '14, and '16. All right. How can it be an abuse of discretion for the district court to have relied on that concession? One more along these lines for you. In Factual Findings 11 and 12, the district court found that plaintiffs had -- had conducted no statistical sampling to show an alternative cause might not have been responsible; namely, that people just preferred the candidate. And it had nothing to do with gerrymandering. How do we -- how do we address that factual finding and call it an abuse of discretion, the decision here, when plaintiffs failed to rule out other potential causal factors for the results here? Along the lines of things we don't know, we've been talking about the intent of the legislature, but what effect does the -- does the fact that this map was subsequently approved by the people themselves have when we're trying to determine intent? This went up for voter referendum, as I understand it -- -- and passed with 64 or so percent of the vote. ",counsel counsel one question i have about causation for you before the district court it appear that you concede that you have to prove but for causation that but for the alleged gerrymander the outcome would have be different in these last three election and the district court expressly reject a low standard reject some metaphysical could be burden in favor of the but for because test in this court you seem to now be back away from the but for because requirement as best i can tell in favor of something the district court might have describe differently and i wonder how could it be an abuse of discretion for the district court to have proceed on the basis of a concession before it that you be now back away from i understand that but before the district court you take the position that you have to prove it accord to the district court s opinion accord to your brief be say our burden be to show right so the district court twist your concession no what it say be it do not say that so i think you be twist perhaps what the district court say what the district court quote you as say be our burden be to show that purposeful dilution be a but for because of the loss in and all right how can it be an abuse of discretion for the district court to have rely on that concession one more along these line for you in factual finding and the district court find that plaintiff have have conduct no statistical sampling to show an alternative because might not have be responsible namely that people just prefer the candidate and it have nothing to do with gerrymandering how do we how do we address that factual finding and call it an abuse of discretion the decision here when plaintiff fail to rule out other potential causal factor for the result here along the line of thing we do not know we have be talk about the intent of the legislature but what effect do the do the fact that this map be subsequently approve by the people themselves have when we be try to determine intent this go up for voter referendum as i understand it and pass with or so percent of the vote ,132.4,Roberts Court,"Mar 28, 2018",,,17-333,"Dec 8, 2017","Jun 18, 2018",115.0,0.0,0.0,0.0,1
2017,Ayestas v. Davis,115,Neil Gorsuch,"I have a separate jurisdictional problem that I'm hoping you can help me with and it concerns the COA requirement. And neither side discusses it, but it's jurisdictional, so I'm -- I feel like I should give you a shot at it and you can help me out with it. The Fifth Circuit didn't require a COA because it read Harbison as saying one wasn't required. But some circuits, including my old one, have distinguished Harbison in similar circumstances, pointing out that Harbison just dealt with the appointment, I believe, of clemency counsel, and the issue wasn't part of the final order in the merits of the habeas petition. Here, the denial of funding was part of the final order in the denial of a habeas petition. And as I read 2253, a final order in a habeas proceeding, you need a COA. Now, maybe you can say it's just independent and totally separate from that. But then that might suggest you'd have to -- you'd be able to appeal as a matter of right anytime a funding denial takes place, even before a final judgment. And that seems odd too, though, because funding requests, attorney fee denials, sanctions, usually are wrapped up in and merged with the final judgment. So, long-winded question, but it's jurisdictional, so -- and I thought you could help me out with that. Sure. But you're appealing the final order in a habeas proceeding, and that's the language in 2253. So help me out with the language in 2253. Final order? In -- in -- in a habeas proceeding, right? So -- so it's like a Cohen issue, you'd say, and we have collateral -- you know, it's a collateral issue and so we can take it up before a final judgment in -- in the habeas proceeding? I've never heard of this animal before. It's collateral, but it still merges to the final order? Well -- Deny a hear -- evidentiary hearing or a discovery ruling, it all merges into the final order, traditionally. That's my understanding. Sure. I would too. You're okay with that? (Laughter.) You're okay with that? You like that proposal -- Justice Breyer's proposal? Okay. All right. Counsel, you say there was no deficient performance, but the circuit court had to amend its -- its ruling because it had mistakenly said that there had been an investigation of mental health in 1997 by trial counsel, and it had to withdraw that. Is there -- is it fair to say there was no deficient performance or a holding on that score by the Fifth Circuit after -- after it reissued its opinion? Or did it rely solely on prejudice at least with respect to trial counsel? How? But -- but -- that's contacting the family members. And I'll spot you that. But I'm talking about the mental health issue. How can -- how can there have been no deficient performance holding if it withdrew the basis of that holding in its -- in its revised opinion? Yeah. What do -- Yeah. What do we do about that? On the one hand, it's jurisdictional. On the other hand, it's not in the question presented. So, as Justice Breyer said, maybe we should let the court of appeals deal with that in the first instance. That's usually pretty reliable, too. ",i have a separate jurisdictional problem that I be hop you can help me with and it concern the coa requirement and neither side discuss it but it be jurisdictional so I be i feel like i should give you a shot at it and you can help me out with it the fifth circuit do not require a coa because it read harbison as say one be not require but some circuit include my old one have distinguish harbison in similar circumstance point out that harbison just dealt with the appointment i believe of clemency counsel and the issue be not part of the final order in the merit of the habeas petition here the denial of funding be part of the final order in the denial of a habeas petition and as i read a final order in a habeas proceeding you need a coa now maybe you can say it be just independent and totally separate from that but then that might suggest you would have to you would be able to appeal as a matter of right anytime a funding denial take place even before a final judgment and that seem odd too though because funding request attorney fee denial sanction usually be wrap up in and merge with the final judgment so long winded question but it be jurisdictional so and i think you could help me out with that sure but you be appeal the final order in a habeas proceeding and that be the language in so help me out with the language in final order in in in a habeas proceeding right so so it be like a cohen issue you would say and we have collateral you know it be a collateral issue and so we can take it up before a final judgment in in the habeas proceeding I have never hear of this animal before it be collateral but it still merge to the final order well deny a hear evidentiary hearing or a discovery ruling it all merge into the final order traditionally that be my understanding sure i would too you be okay with that laughter you be okay with that you like that proposal justice breyer s proposal okay all right counsel you say there be no deficient performance but the circuit court have to amend its its ruling because it have mistakenly say that there have be an investigation of mental health in by trial counsel and it have to withdraw that be there be it fair to say there be no deficient performance or a hold on that score by the fifth circuit after after it reissue its opinion or do it rely solely on prejudice at least with respect to trial counsel how but but that be contact the family member and I will spot you that but I be talk about the mental health issue how can how can there have be no deficient performance hold if it withdraw the basis of that hold in its in its revise opinion yeah what do yeah what do we do about that on the one hand it be jurisdictional on the other hand it be not in the question present so as justice breyer say maybe we should let the court of appeal deal with that in the first instance that be usually pretty reliable too ,171.36,Roberts Court,"Oct 30, 2017",Carlos Manuel Ayestas,"Lorie Davis, Director, Texas Department of Criminal Justice (Institutional Division)",16-6795,"Apr 3, 2017","Mar 21, 2018",115.0,1.0,0.0,0.0,0
2017,Trump v. Hawaii,115,Neil Gorsuch,"Mr. Katyal -- Mr. Katyal, if I might on -- on the statutory question before we leave it. We've been proceeding so far on the assumption that we can reach the merits, but the government makes the argument, for example, that aliens who are removed from this country have to bring their claims personally and third parties can't vindicate those rights of aliens being -- who are present in this country, and asks the question why it should be that third persons should be able to assert the rights of aliens who are not present in this country. What's the answer to that? Oh behalf of -- -- aliens not present in the country? I understand that, but those arguments don't work with respect to aliens present in the country. So why do they work for aliens who are not present in the country? Those very same arguments would not succeed. I think you'd concede that they wouldn't succeed for aliens present -- Mr. Katyal, on that, it's been a long time since this Court has used the Lemon test, reasonable observer, even to strike down a domestic statute, let alone something with purely international application. What -- what do we do about that? That -- -- raises a question of remedy for me. We have this troubling rise of this nationwide injunction, cosmic injunction -- -- not limited to relief for the parties at issue or even a class action. And, near as I can tell, that's -- that's a really new development where a district court asserts the right to strike down a -- a federal statute with regard to anybody anywhere in the world. What -- what do we do about that? ",mr katyal mr katyal if i might on on the statutory question before we leave it we have be proceed so far on the assumption that we can reach the merit but the government make the argument for example that alien who be remove from this country have to bring their claim personally and third party can not vindicate those right of alien be who be present in this country and ask the question why it should be that third person should be able to assert the right of alien who be not present in this country what be the answer to that oh behalf of alien not present in the country i understand that but those argument do not work with respect to alien present in the country so why do they work for alien who be not present in the country those very same argument would not succeed i think you would concede that they would not succeed for alien present mr katyal on that it be be a long time since this court have use the lemon test reasonable observer even to strike down a domestic statute let alone something with purely international application what what do we do about that that raise a question of remedy for me we have this troubling rise of this nationwide injunction cosmic injunction not limit to relief for the party at issue or even a class action and near as i can tell that be that be a really new development where a district court assert the right to strike down a a federal statute with regard to anybody anywhere in the world what what do we do about that ,85.08,Roberts Court,"Apr 25, 2018","Donald J. Trump, President of the United States, et al.","Hawaii, et al.",17-965,"Jan 19, 2018","Jun 26, 2018",115.0,1.0,0.0,0.0,0
2017,"Janus v. American Federation of State, County, and Municipal Employees, Council 31",115,Neil Gorsuch,,,0.0,Roberts Court,"Feb 26, 2018",Mark Janus,"American Federation of State, County, and Municipal Employees, Council 31, et al.",16-1466,"Sep 28, 2017","Jun 27, 2018",115.0,1.0,0.0,0.0,0
2017,"Lozman v. City of Riviera Beach, Florida",115,Neil Gorsuch,"That's true in the Fourth Amendment context, but would it necessarily hold in the First Amendment context, I believe is the Chief Justice's question? But, counsel, why doesn't it account for your concerns what the Chief Justice suggested, which is perhaps probable cause to arrest for the charge made would tend to defeat an inference of retaliation, but to imagine probable cause for an offense ginned up years later at trial after scouring the books and the judge sending everyone to do more homework to find more statutes and more books. Why might that not be different and that raise an inference of retaliation? Well, that's the -- that's the Fourth Amendment context. Here, we're trying to secure First Amendment values. And --- and why isn't it a different consideration? For certain. And I'm not suggesting that the failure to get it right would itself invite liability, but why wouldn't it at least raise the possible inference of retaliation there in a way that it wouldn't if it got it right for the arresting charge? Fair enough. You didn't get it at the moment, and maybe you give him a couple of chances even at the apple. But do you wait until trial and -- and in the middle of trial and sending lawyers to do homework to find more charges? Does -- does that -- is that different in any meaningful way? How about before -- How about before trial? (Laughter.) ",that be true in the fourth amendment context but would it necessarily hold in the first amendment context i believe be the chief justice s question but counsel why do not it account for your concern what the chief justice suggest which be perhaps probable because to arrest for the charge make would tend to defeat an inference of retaliation but to imagine probable because for an offense gin up year later at trial after scour the book and the judge send everyone to do more homework to find more statute and more book why might that not be different and that raise an inference of retaliation well that be the that be the fourth amendment context here we be try to secure first amendment value and and why be not it a different consideration for certain and I be not suggest that the failure to get it right would itself invite liability but why would not it at least raise the possible inference of retaliation there in a way that it would not if it get it right for the arrest charge fair enough you do not get it at the moment and maybe you give him a couple of chance even at the apple but do you wait until trial and and in the middle of trial and send lawyer to do homework to find more charge do do that be that different in any meaningful way how about before how about before trial laughter ,90.21,Roberts Court,"Feb 27, 2018",Fane Lozman,"The City of Riviera Beach, Florida",17-21,"Nov 13, 2017","Jun 18, 2018",115.0,1.0,0.0,0.0,0
2017,Patchak v. Zinke,115,Neil Gorsuch,"But, Mr. -- So, Mr. Gant, it's that last clause -- So, Mr. Gant, if I understand it, the answer to the question, I think, is that last clause, the dismiss -- ordering the courts to dismiss the claim, that up to that point, ""shall not be filed or maintained,"" if that's jurisdictional, as I understand, you and your amici are okay with that. It's the directing the dismissal. But if that -- if that's the only beef we have, is that really a beef at all because that's a natural consequence of a jurisdiction-stripping statute as McCardle itself, as Justice Ginsburg pointed out, right, so there's nothing left. I think it's almost a virtual quote from McCardle, right, there's nothing left to be done but dismiss. So where is the real beef here? Assume -- assuming it's jurisdictional and all you're left with is this complaint about the last clause, why should we care? Well, Ms. O'Connell, it seems to me like a lot hinges on whether this is jurisdictional or not in response to all of these questions. And this Court in recent years has instructed that we're not going to lightly assume Congress is stripping jurisdiction. We need a clear statement, Arbaugh, Sebelius, and whatever might have been permissible before, Congress is now on notice that it needs to provide a clear rule. And this statute comes after those warnings from this Court. And help me understand why this statute is, in fact, jurisdiction-stripping without reference to old past laws but after Sebelius, after Arbaugh? Right. You can't. Right. Keene. Right. But you've also got Reed Elsevier, which has similar language to this. No -- basically, no claim shall be maintained, or something like that, that we held wasn't jurisdictional, in the copyright statute. Parties file things. That could be a claims processing rule too. Right? You don't file it. Let's say -- let's say it isn't jurisdictional. Let's say -- let's say we're going to stick with our clear statement rule and that we find this non-jurisdictional. Don't we then have a real problem because a dismissal would be not 12(b)(1) but 12(b)(6), it would be on the merits and have collateral consequences? And wouldn't that be a real problem for Article III? I'm asking -- I'm asking you to put that aside in this question. I'm asking you to -- again, assuming this isn't jurisdictional, for purposes of this question, wouldn't we have a real problem because you are directing dismissal and dismissal wouldn't be 12(b)(1), it would be 12(b)(6), and that has collateral consequences potentially. ",but mr so mr gant it be that last clause so mr gant if i understand it the answer to the question i think be that last clause the dismiss order the court to dismiss the claim that up to that point shall not be file or maintain if that be jurisdictional as i understand you and your amici be okay with that it be the direct the dismissal but if that if that be the only beef we have be that really a beef at all because that be a natural consequence of a jurisdiction strip statute as mccardle itself as justice ginsburg point out right so there be nothing left i think it be almost a virtual quote from mccardle right there be nothing leave to be do but dismiss so where be the real beef here assume assume it be jurisdictional and all you be leave with be this complaint about the last clause why should we care well ms oconnell it seem to me like a lot hinge on whether this be jurisdictional or not in response to all of these question and this court in recent year have instruct that we be not go to lightly assume congress be strip jurisdiction we need a clear statement arbaugh sebelius and whatever might have be permissible before congress be now on notice that it need to provide a clear rule and this statute come after those warning from this court and help me understand why this statute be in fact jurisdiction strip without reference to old past law but after sebelius after arbaugh right you can not right keene right but you have also get reed elsevier which have similar language to this no basically no claim shall be maintain or something like that that we hold be not jurisdictional in the copyright statute party file thing that could be a claim processing rule too right you do not file it let us say let us say it be not jurisdictional let us say let us say we be go to stick with our clear statement rule and that we find this non jurisdictional do not we then have a real problem because a dismissal would be not b but b it would be on the merit and have collateral consequence and would not that be a real problem for article iii I be ask I be ask you to put that aside in this question I be ask you to again assume this be not jurisdictional for purpose of this question would not we have a real problem because you be direct dismissal and dismissal would not be b it would be b and that have collateral consequence potentially ,141.64,Roberts Court,"Nov 7, 2017",David Patchak,"Ryan Zinke, Sec. of Interior",16-498,"May 1, 2017","Feb 27, 2018",115.0,0.0,0.0,0.0,1
2017,Hall v. Hall,115,Neil Gorsuch,"Well, counsel, for the -- for the courts of appeals that prefer the practice of deferring everything until there's a final judgment on a final matter in the district court, could they just have a rule, a local rule or practice of deferring cases along the lines that we've just discussed? No, I'm talking about for cases just like this. If -- if we're in a circuit that prefers as a matter of practice to wait until everything is done, is there anything inhibiting them from adopting a rule staying cases where there's another related matter still lurking in the district court? I can't see any. And it's not -- this is not an unfriendly question. Well, but, counsel, that's what it says I think in (b)(1) with respect to general verdicts. But then (b)(2) with respect to special verdicts doesn't contain any parallel language like that and, in fact, suggests that the judgment has to be entered promptly. What do we do about that? But as I understood your answer to Justice Kagan and -- and Justice Ginsburg, it was one of the reasons we don't need to worry about your proposed rule is that the district court has discretion to delay the entry of judgment and that that is textually found in (b)(1), which, indeed, it is with respect to general verdicts, but there's no parallel language that you can rely on with respect to (b)(2). And does that diminish your argument by suggesting there the district court doesn't have jurisdiction -- discretion to delay the entry of judgment? Why not? Why doesn't it? Now, that's where I get stuck. If we have a district court that issues separate judgments, I think pretty much any cautious litigator would take that seriously and file a notice of appeal because it's a signal from the district court that it is complete. It is finished. There is a final decision in this matter. I've read it and it's ambiguous. It doesn't say they are merged. It doesn't use that word. It doesn't say for all purposes. And then we have, as the Chief Justice points out, a later order from the same district court, which I assume we would take as seriously as a consolidation order, it being a final judgment and all. So help me out with that. Mr. Katyal, on 54, where I get tripped up is the word ""action."" 54 speaks of sending upstairs a claim within an -- within an action. And the federal rules consistently understand the word ""action"" to be the complaint, the lawsuit. In fact, even this rule that we're now interpreting speaks of actions. Rule 2, Rule 3. So it seems to me that your dependence on 54 runs into a bit of a plain language issue. Do you have any -- do you have any answer on the text of action, though? Do you know anywhere else in -- in the rules where ""action"" is used differently? No, I'm -- I'm just asking whether you're familiar with any other place in the rules. Wouldn't it be clearer if it were in the rules rather than in the case law which is currently so split? Well, the reason that we took this case is because there is a split. ",well counsel for the for the court of appeal that prefer the practice of defer everything until there be a final judgment on a final matter in the district court could they just have a rule a local rule or practice of defer case along the line that we have just discuss no I be talk about for case just like this if if we be in a circuit that prefer as a matter of practice to wait until everything be do be there anything inhibit them from adopt a rule stay case where there be another related matter still lurk in the district court i can not see any and it be not this be not an unfriendly question well but counsel that be what it say i think in b with respect to general verdict but then b with respect to special verdict do not contain any parallel language like that and in fact suggest that the judgment have to be enter promptly what do we do about that but as i understand your answer to justice kagan and and justice ginsburg it be one of the reason we do not need to worry about your propose rule be that the district court have discretion to delay the entry of judgment and that that be textually find in b which indeed it be with respect to general verdict but there be no parallel language that you can rely on with respect to b and do that diminish your argument by suggest there the district court do not have jurisdiction discretion to delay the entry of judgment why not why do not it now that be where i get stick if we have a district court that issue separate judgment i think pretty much any cautious litigator would take that seriously and file a notice of appeal because it be a signal from the district court that it be complete it be finish there be a final decision in this matter I have read it and it be ambiguous it do not say they be merge it do not use that word it do not say for all purpose and then we have as the chief justice point out a late order from the same district court which i assume we would take as seriously as a consolidation order it be a final judgment and all so help me out with that mr katyal on where i get trip up be the word action speaks of send upstairs a claim within an within an action and the federal rule consistently understand the word action to be the complaint the lawsuit in fact even this rule that we be now interpret speaks of action rule rule so it seem to me that your dependence on run into a bit of a plain language issue do you have any do you have any answer on the text of action though do you know anywhere else in in the rule where action be use differently no I be I be just ask whether you be familiar with any other place in the rule would not it be clear if it we be in the rule rather than in the case law which be currently so split well the reason that we take this case be because there be a split ,175.75999999999996,Roberts Court,"Jan 16, 2018","Elsa Hall, as Personal Representative of the Estate of Ethlyn Louise Hall and as Successor Trustee of the Ethlyn Louise Hall Family Trust","Samuel H. Hall, Jr., et al.",16-1150,"Sep 28, 2017","Mar 27, 2018",115.0,1.0,0.0,0.0,0
2017,District of Columbia v. Wesby,115,Neil Gorsuch,"Mr. Garrett, I just wanted to get back to Justice Alito's question because, as I understood it, you -- you agreed that it would be acceptable for an officer to make this arrest in a more affluent part of town. And maybe I'm mistaken in that, but because perhaps the furniture situation one should understand would be less in this area of town than that area of town. But if it's a new tenant, we all live with folding chairs for a period of time when we move. So does that hold? Is that a fair reason? Should officers really have to distinguish between parts of town in deciding when to make an arrest? Right. The commonsense perspective is it's a new tenant. And so the new tenant, we all live -- if I work with boxes, and whatever part of town we're from. So does an officer -- should an officer, I mean, redline where he enforces the law? Take away the for sale sign. We don't have that here. That's not a fact we have. But otherwise pretty much the same, right? But you say it's okay to arrest at the mansion and not here? You keep adding facts. I'm saying keep the facts exactly the same. Just move the house. Shouldn't I worry that you think it's a closer case, that officers implicitly may distinguish, and you suggest should, based on where in town they're enforcing the law? ",mr garrett i just want to get back to justice alito s question because as i understood it you you agree that it would be acceptable for an officer to make this arrest in a more affluent part of town and maybe I be mistake in that but because perhaps the furniture situation one should understand would be less in this area of town than that area of town but if it be a new tenant we all live with fold chair for a period of time when we move so do that hold be that a fair reason should officer really have to distinguish between part of town in decide when to make an arrest right the commonsense perspective be it be a new tenant and so the new tenant we all live if i work with box and whatever part of town we be from so do an officer should an officer i mean redline where he enforce the law take away the for sale sign we do not have that here that be not a fact we have but otherwise pretty much the same right but you say it be okay to arrest at the mansion and not here you keep add fact I be say keep the fact exactly the same just move the house should not i worry that you think it be a closer case that officer implicitly may distinguish and you suggest should base on where in town they be enforce the law ,79.16,Roberts Court,"Oct 4, 2017","District of Columbia, et al.","Theodore Wesby, et al.",15-1485,"Jan 19, 2017","Jan 22, 2018",115.0,1.0,0.0,0.0,0
