term,caseName,justiceId,speakerName,text,cleanText,duration,decidedBy,arguedOn,petitioner,respondent,docket,grantedOn,decidedOn,justice,partyWinning,direction,majority,vote
2010,"PLIVA, Inc. v. Mensing",114,Elena Kagan,"Well, Mr. Lefkowitz, why should-- --Do you contest, Mr. Lefkowitz, your ability to make that request? I know that you contest your obligation to make that request, but do you think you could go to the FDA and make that request and set a process in motion? Well, if you could go to the FDA, why shouldn't we look at this suit in this way: That the plaintiffs are bringing a standard failure to warn claim; that you then have a preemption defense, that you'll say it's impossible; and then in order to litigate that preemption defense, the question will be, well, if you had gone to the FDA, what would the FDA have done? Would it in fact have required both brand names and generics to change the label? And if it would have, you would not have had -- been put in an impossible position. But Mr. Lefkowitz, I think what the Respondents would say is that you are mischaracterizing their complaint and making it into something that it's not. Their complaint is a standard state failure to warn claim. Now, you have a preemption defense to that claim, and in that preemption defense there's going to be questions about your disclosure obligations and whether the FDA would have responded in a certain way to your disclosure obligations, but it's in a fundamentally different posture than the one that you're suggesting. Well, I agree that you don't have any ability yourself to change the warning, but here's what the FDA has said. The FDA has said if an ANDA applicant -- and that's you; you're an ANDA applicant -- believes new safety information should be added to a product's labeling, presumably because they've gotten information that suggests that the product's labeling is wrong, then it should contact the FDA, and the FDA will determine whether the labeling for the generic and listed drugs should be revised. Mr. Kneedler, suppose that I'm not sure I agree with you that there is an obligation of the kind that you say for a generic drug manufacturer to come forward and request a label, but I do think that there's an opportunity for that manufacturer to come forward and ask the FDA to revise a label. If that's the way I read the law, does your result follow? Do you think, then, that State law claims should be able to go forward? Well, Mr. Lefkowitz, if you had asked, you would be in a different situation. If you had asked and the FDA had sat on it or was negotiating, then you could say, look, we've done all we can right now. But you're not in that situation. You, in fact, have not done all you can right now to change the label because you never wrote that letter. ",well mr lefkowitz why should do you contest mr lefkowitz your ability to make that request i know that you contest your obligation to make that request but do you think you could go to the fda and make that request and set a process in motion well if you could go to the fda why should not we look at this suit in this way that the plaintiff be bring a standard failure to warn claim that you then have a preemption defense that you will say it be impossible and then in order to litigate that preemption defense the question will be well if you have go to the fda what would the fda have do would it in fact have require both brand name and generic to change the label and if it would have you would not have have be put in an impossible position but mr lefkowitz i think what the respondent would say be that you be mischaracterizing their complaint and make it into something that it be not their complaint be a standard state failure to warn claim now you have a preemption defense to that claim and in that preemption defense there be go to be question about your disclosure obligation and whether the fda would have respond in a certain way to your disclosure obligation but it be in a fundamentally different posture than the one that you be suggest well i agree that you do not have any ability yourself to change the warning but here s what the fda have say the fda have say if an anda applicant and that be you you be an anda applicant believe new safety information should be add to a product s labeling presumably because they have get information that suggest that the product s labeling be wrong then it should contact the fda and the fda will determine whether the labeling for the generic and listed drug should be revise mr kneedler suppose that I be not sure i agree with you that there be an obligation of the kind that you say for a generic drug manufacturer to come forward and request a label but i do think that there be an opportunity for that manufacturer to come forward and ask the fda to revise a label if that be the way i read the law do your result follow do you think then that state law claim should be able to go forward well mr lefkowitz if you have ask you would be in a different situation if you have ask and the fda have sit on it or be negotiate then you could say look we have do all we can right now but you be not in that situation you in fact have not do all you can right now to change the label because you never write that letter ,152.48000000000005,Roberts Court,"Mar 30, 2011","PLIVA, Inc., et al.",Gladys Mensing,09-993,"Dec 10, 2010","Jun 23, 2011",114.0,1.0,0.0,0.0,0
2010,J.D.B. v. North Carolina,114,Elena Kagan,"Do we need either imaginative powers or empirical data to know that when a 13-year-old is brought into a room in his school, taken out of class, four people are there, two are police officers, one is assistant principal, threatened with custody, that that person is not going to feel free to take off and leave? General Cooper, I'm not sure how I understand or that I understand how this would be turning Miranda upside down. Miranda is already an incredibly complicated test about when those warnings need to be given, all right. So there are all manner of circumstances which go into the determination of whether a person would feel free to learn -- leave, whether a person would feel as though he were in custody, a thousand things, how many people are in the room, how long the interrogation is, where the interrogation is, the particular circumstances of the interrogation. So, this is not a bright line test, and all that we would be doing here would be adding an additional objective factor to an already multifaceted inquiry. Counsel, do you agree with the solicitor general's view that a blind person should be treated as a blind person for -- for these purposes? And a deaf person should be treated as a deaf person for these purposes? As is youth. As is youth, an obvious external circumstance that this boy was 13 years old. You know, I don't agree with that. You are trying to understand this situation as the blind person would have seen it or as the deaf person would have seen it or as the 13-year-old would have seen it, and I don't understand why it's different. But that's all we're doing with the young person. And in fact, most of us, many of us, have a great deal more experience understanding the world through the eyes of a young person or children, perhaps, than understanding the eyes -- the world through the eyes of a severely sensory deprived person. We're asking the exact same thing in both contexts: What is this person -- what is this -- what do the objective circumstances appear to a person in this situation? Mr. Feigin-- --I'm sorry. Do you think that a 00 a person with Down's syndrome, that that should be taken into account in this inquiry? ",do we need either imaginative power or empirical data to know that when a year old be bring into a room in his school take out of class four people be there two be police officer one be assistant principal threaten with custody that that person be not go to feel free to take off and leave general cooper I be not sure how i understand or that i understand how this would be turn miranda upside down miranda be already an incredibly complicate test about when those warning need to be give all right so there be all manner of circumstance which go into the determination of whether a person would feel free to learn leave whether a person would feel as though he we be in custody a thousand thing how many people be in the room how long the interrogation be where the interrogation be the particular circumstance of the interrogation so this be not a bright line test and all that we would be do here would be add an additional objective factor to an already multifaceted inquiry counsel do you agree with the solicitor general s view that a blind person should be treat as a blind person for for these purpose and a deaf person should be treat as a deaf person for these purpose as be youth as be youth an obvious external circumstance that this boy be year old you know i do not agree with that you be try to understand this situation as the blind person would have see it or as the deaf person would have see it or as the year old would have see it and i do not understand why it be different but that be all we be do with the young person and in fact most of us many of us have a great deal more experience understand the world through the eye of a young person or child perhaps than understand the eye the world through the eye of a severely sensory deprive person we be ask the exact same thing in both context what be this person what be this what do the objective circumstance appear to a person in this situation mr feigin I be sorry do you think that a a person with down s syndrome that that should be take into account in this inquiry ,133.59,Roberts Court,"Mar 23, 2011",J.D.B.,North Carolina,09-11121,"Nov 1, 2010","Jun 16, 2011",114.0,1.0,0.0,0.0,0
2010,Cullen v. Pinholster,114,Elena Kagan,"Mr. Bilderback, I know that that's the principal fact that you rely upon that there's a difference, but could you give us a full catalogue of the facts that are different in the Federal court record from the facts that are different in the State court record? Was there anything other than the medical testimony and the billing sheets, or is that the extent of it? Although that-- --Well, Mr. Bilderback, going back to your question of what's a claim. So the claim here could be ineffective assistance at the penalty stage. Or you could be saying, no, the claim is ineffective assistance for failing to present evidence of organic brain damage. That would be a narrower understanding of the claim. Or still narrower, it might be ineffective assistance for failing to present evidence of a particular kind of brain damage, frontal lobe brain damage, which is what the new doctor said, as opposed to what the old doctor said, which was bipolar disorder. So how do we choose the level of generality, if you will, when we try to figure out what the claim is? But, Mr. Kennedy, do you agree with the State that there are two thing at issue here, there is the new medical testimony and there is also the billing sheets? Oh, but that's not -- that was not presented as evidence in the State court, the billing sheets? I think what's important is that they are not -- I mean, tell me if I am wrong, but they were not part of the State court record on which the State court made the 2254(d)(1) determination, is that right? I'm sorry, I don't know-- ",mr bilderback i know that that be the principal fact that you rely upon that there be a difference but could you give us a full catalogue of the fact that be different in the federal court record from the fact that be different in the state court record be there anything other than the medical testimony and the billing sheet or be that the extent of it although that well mr bilderback go back to your question of what be a claim so the claim here could be ineffective assistance at the penalty stage or you could be say no the claim be ineffective assistance for fail to present evidence of organic brain damage that would be a narrow understanding of the claim or still narrow it might be ineffective assistance for fail to present evidence of a particular kind of brain damage frontal lobe brain damage which be what the new doctor say as oppose to what the old doctor say which be bipolar disorder so how do we choose the level of generality if you will when we try to figure out what the claim be but mr kennedy do you agree with the state that there be two thing at issue here there be the new medical testimony and there be also the billing sheet oh but that be not that be not present as evidence in the state court the billing sheet i think what be important be that they be not i mean tell me if i be wrong but they we be not part of the state court record on which the state court make the d determination be that right I be sorry i do not know ,88.68999999999998,Roberts Court,"Nov 9, 2010","Vincent Cullen, Acting Warden",Scott Lynn Pinholster,09-1088,"Jun 14, 2010","Apr 4, 2011",114.0,1.0,0.0,0.0,0
2010,"Board of Trustees of the Leland Stanford Junior University v. Roche Molecular Systems, Inc.",114,Elena Kagan,"Do those policies ever distinguish between Federally funded projects and Non-Federally funded projects? Mr. Stewart, could I ask you just a factual question? When the Federal Government contracts with universities or other nonprofits, does it require those universities to get assignments from their employees? And if so, how? So why doesn't the Federal Government just require assignments from employees to the university? Mr. Stewart, do you know, is this a Stanford-specific problem or is it a more general problem? In other words, are there many universities that have agreements like Stanford's that would be subject to the Federal Circuit's ruling? Or is this just an example of one university that unfortunately has a bad agreement? Do you have an explanation, Mr. Fleming, of why it is that Congress left such a big problem off the table? In other words, clearly Congress was thinking about how to protect the government's interests with respect to these patents, and to say, well, we have these interests with respect to patents that the university owns, but we don't have those same interests with respect to patents that the individual researcher owns, just seems bizarre. ",do those policy ever distinguish between federally fund project and non federally fund project mr stewart could i ask you just a factual question when the federal government contract with university or other nonprofit do it require those university to get assignment from their employee and if so how so why do not the federal government just require assignment from employee to the university mr stewart do you know be this a stanford specific problem or be it a more general problem in other word be there many university that have agreement like stanford s that would be subject to the federal circuit s ruling or be this just an example of one university that unfortunately have a bad agreement do you have an explanation mr fleming of why it be that congress leave such a big problem off the table in other word clearly congress be think about how to protect the government s interest with respect to these patent and to say well we have these interest with respect to patent that the university own but we do not have those same interest with respect to patent that the individual researcher own just seem bizarre ,68.58000000000001,Roberts Court,"Feb 28, 2011",Board of Trustees of the Leland Stanford Junior University,"Roche Molecular Systems, Inc., Roche Diagnostics Corp., and Roche Diagnostics Operation Inc.",09-1159,"Nov 1, 2010","Jun 6, 2011",114.0,0.0,0.0,0.0,1
2010,"J. McIntyre Machinery, Ltd. v. Nicastro",114,Elena Kagan,"Mr. Fergenson, in your question presented to this Court, you asked whether there's personal jurisdiction -- and I'm quoting here -- ""solely because the manufacturer targets the United States market for the sale of its product. "" So I'm taking from that, that you acknowledge that this manufacturer, McIntyre, a British manufacturer, targeted the United States market for the sale of its product. That's correct, yes? That's your question presented-- --Did this -- well, I'll just ask you, then: Did this manufacturer target the United States market? Did it want to sell its products in the United States? Okay. So what does that mean, exactly, Mr. Fergenson? Because the United States is the United States. It's made up of 50 States. So I assume that what that means is the manufacturer wanted to sell its products in each of the 50 States. Is that right? It only wanted to sell its product in a few States? Right, anywhere. So if the distributor came up with California, that was great. If the distributor came up with a customer in New Jersey, that was great. As many as possible, more the better, all over the United States. Is that right? Exactly. So you targeted New Jersey no less than you targeted California or New York or Illinois or Massachusetts or anything else. You targeted the entire United States? Why shouldn't there be jurisdiction in each of the States you targeted? Well, suable in any State where the incident arises. This is not general jurisdiction. This is specific jurisdiction. So the question is, when you target the entire United States and each of the 50 States within that and an accident occurs within one of those States, are you subject to jurisdiction in that State for that accident, for a claim based on that accident? Not generally, but just for a claim based on that accident. Didn't even Justice O'Connor -- you referenced the Asahi opinions, but Justice O'Connor said as long as there's purposeful availment, there is specific jurisdiction, and there is purposeful availment when there's an active effort to target a market. Mr. Fergenson, just picking up where Justice Ginsburg left off, Ohio is a perfectly good place for jurisdiction over a claim between the British manufacturer and its distributor in Ohio. Any kind of contract claim, a claim based on the agreement between the two, Ohio is the appropriate place for jurisdiction. But Ohio does not seem the appropriate place for jurisdiction -- and again, we're talking about specific jurisdiction, not general -- as to a claim based on an accident that occurred in New Jersey. The entire idea of specific jurisdiction is that you need a relationship between the defendant and the forum and the claim, and here the claim arose in New Jersey and was in fact not related to Ohio. Mr. Fergenson, could I try another hypothetical? But, Mr. Fergenson, the question is whether seeking to serve a market -- and here you're seeking to serve a market in each of the 50 States -- is purposeful availment. So let me just try a different hypothetical. Suppose you had the same arrangement with your distributor in Ohio, but the arrangement was not to serve the entire United States market. Instead, the arrangement was to serve only five States in the Midwest. That's what you wanted, your client wanted, the market to be. So it was going to be Ohio and Indiana and Illinois and Michigan and Iowa, all right? So now a machine blows up in Illinois. Is there jurisdiction in Illinois? There is jurisdiction in Illinois, even though your relationship with your distributor was in Ohio. But there's jurisdiction in Illinois because the machine blew up there and you were seeking to serve the market; that's right? Okay. Now we have -- now we say this is working very well. Let's get another nine distributors on board. We'll give each of them five states, all right? Now, if I understand you correctly, now you're liable all over the United States because you've had this relationship with ten different distributors, each of whom are going to serve five states. So there's personal jurisdiction in any state where a machine blows up. And now I say: Let's forget these ten distributors. Who needs ten distributors? I'll just have one distributor. Why is there any difference? Mr. Fergenson, with respect, this distributor was told to sell as many products as it could in as many States as it could. Mr. Ross, do you think if there's a small business in the United States that sells a product and that actively seeks to serve a foreign market, maybe it's Great Britain, maybe it's China, and that product blows up in that foreign country -- Great Britain, China -- do you think that the manufacturer, the American manufacturer is subject to jurisdiction there? All -- all over the world this is true; is that right? Mr. Ross, we do that now; isn't that right? And Mr. Ross, isn't the point that he was selling by using large convention sites in the United States, expecting that people from other -- would show up to those large convention sites? I know that Justice Alito doesn't want to hear this, but New Jersey doesn't have all that many large convention sites like Las Vegas does. Newark is not such a hot place, but they're expecting people from Newark to go and look at these machines and buy these machines. That's the marketing system that's used for these massive machines that they're trying to sell nationwide. And Mr. Fergenson, isn't that what Justice O'Connor said in Asahi, that the component manufacturer may have all the knowledge in the world -- for Justice Brennan, that was enough; for Justice O'Connor, it was not enough that knowledge was insufficient, that there had to be purposeful availment, that there had to be an active decision, a choice to seek the market. And -- and I understand that, on your view, McIntyre made that choice. Mr. Fergenson, could I ask you a question? Mr. Fergenson, Toyota, Honda, Volkswagen -- pick your car company -- sells many millions of cars to the United States. They start flowing up here, they operate through independent distributors only. Can they be subject to jurisdiction in any of the States? ",mr fergenson in your question present to this court you ask whether there be personal jurisdiction and I be quote here solely because the manufacturer target the united state market for the sale of its product so I be take from that that you acknowledge that this manufacturer mcintyre a british manufacturer target the united state market for the sale of its product that be correct yes that be your question present do this well I will just ask you then do this manufacturer target the united state market do it want to sell its product in the united state okay so what do that mean exactly mr fergenson because the united state be the united state it be make up of state so i assume that what that mean be the manufacturer want to sell its product in each of the state be that right it only want to sell its product in a few state right anywhere so if the distributor come up with california that be great if the distributor come up with a customer in new jersey that be great as many as possible more the good all over the united state be that right exactly so you target new jersey no less than you target california or new york or illinois or massachusetts or anything else you target the entire united state why should not there be jurisdiction in each of the state you target well suable in any state where the incident arise this be not general jurisdiction this be specific jurisdiction so the question be when you target the entire united state and each of the state within that and an accident occur within one of those state be you subject to jurisdiction in that state for that accident for a claim base on that accident not generally but just for a claim base on that accident do not even justice oconnor you reference the asahi opinion but justice oconnor say as long as there be purposeful availment there be specific jurisdiction and there be purposeful availment when there be an active effort to target a market mr fergenson just pick up where justice ginsburg leave off ohio be a perfectly good place for jurisdiction over a claim between the british manufacturer and its distributor in ohio any kind of contract claim a claim base on the agreement between the two ohio be the appropriate place for jurisdiction but ohio do not seem the appropriate place for jurisdiction and again we be talk about specific jurisdiction not general as to a claim base on an accident that occur in new jersey the entire idea of specific jurisdiction be that you need a relationship between the defendant and the forum and the claim and here the claim arise in new jersey and be in fact not relate to ohio mr fergenson could i try another hypothetical but mr fergenson the question be whether seek to serve a market and here you be seek to serve a market in each of the state be purposeful availment so let me just try a different hypothetical suppose you have the same arrangement with your distributor in ohio but the arrangement be not to serve the entire united state market instead the arrangement be to serve only five state in the midwest that be what you want your client want the market to be so it be go to be ohio and indiana and illinois and michigan and iowa all right so now a machine blow up in illinois be there jurisdiction in illinois there be jurisdiction in illinois even though your relationship with your distributor be in ohio but there be jurisdiction in illinois because the machine blow up there and you we be seek to serve the market that be right okay now we have now we say this be work very well let us get another nine distributor on board we will give each of them five state all right now if i understand you correctly now you be liable all over the united state because you have have this relationship with ten different distributor each of whom be go to serve five state so there be personal jurisdiction in any state where a machine blow up and now i say let us forget these ten distributor who need ten distributor I will just have one distributor why be there any difference mr fergenson with respect this distributor be tell to sell as many product as it could in as many state as it could mr ross do you think if there be a small business in the united state that sell a product and that actively seek to serve a foreign market maybe it be great britain maybe it be china and that product blow up in that foreign country great britain china do you think that the manufacturer the american manufacturer be subject to jurisdiction there all all over the world this be true be that right mr ross we do that now be not that right and mr ross be not the point that he be sell by use large convention site in the united state expect that people from other would show up to those large convention site i know that justice alito do not want to hear this but new jersey do not have all that many large convention site like la vega do newark be not such a hot place but they be expect people from newark to go and look at these machine and buy these machine that be the marketing system that be use for these massive machine that they be try to sell nationwide and mr fergenson be not that what justice oconnor say in asahi that the component manufacturer may have all the knowledge in the world for justice brennan that be enough for justice oconnor it be not enough that knowledge be insufficient that there have to be purposeful availment that there have to be an active decision a choice to seek the market and and i understand that on your view mcintyre make that choice mr fergenson could i ask you a question mr fergenson toyota honda volkswagen pick your car company sell many million of car to the united state they start flow up here they operate through independent distributor only can they be subject to jurisdiction in any of the state ,359.64999999999986,Roberts Court,"Jan 11, 2011","J. McIntyre Machinery, Ltd.","Robert Nicastro, et al.",09-1343,"Sep 28, 2010","Jun 27, 2011",114.0,1.0,0.0,0.0,0
2010,Microsoft Corp. v. i4i Limited Partnership,114,Elena Kagan,"But Justice Cardozo certainly didn't limit his holding in the way you suggest. The language of that opinion is extremely broad. And if you read that opinion, no one would gather from that opinion the kinds of limits that you're suggesting on it. Well, Mr. Hungar, it seems to me that RCA would matter, even under your view of the world, because if you think that Congress did not codify the existing state of the law as to the standard of proof and you think that Congress -- that -- that section 282 was essentially silent as to the standard of proof, then the question is, what do we do? And one answer to that question is we go with our prior precedent, which is RCA. Mr. Waxman-- --Isn't there a limited amount of reliance that any patent holder can have, given the re-exam system? ",but justice cardozo certainly do not limit his hold in the way you suggest the language of that opinion be extremely broad and if you read that opinion no one would gather from that opinion the kind of limit that you be suggest on it well mr hungar it seem to me that rca would matter even under your view of the world because if you think that congress do not codify the exist state of the law as to the standard of proof and you think that congress that that section be essentially silent as to the standard of proof then the question be what do we do and one answer to that question be we go with our prior precedent which be rca mr waxman be not there a limited amount of reliance that any patent holder can have give the re exam system ,45.65000000000001,Roberts Court,"Apr 18, 2011",Microsoft Corporation,"i4i Limited Partnership, et al.",10-290,"Nov 29, 2010","Jun 9, 2011",114.0,0.0,0.0,0.0,1
2010,CSX Transportation v. McBride,114,Elena Kagan,"Mr. Rothfeld, could you explain to me how it would have made a difference in this case, that instruction? Mr. Rothfeld, are there any cases like that in the FELA world? You know, I take it that this basic instruction that was given in this case is the instruction that's given in most cases. If you look across the range of cases, do you find jurors awarding damages in the kind of situation that you're talking about? In other words, is this a real-world problem? Mr. Rothfeld, your instruction actually used the term ""probable cause"". Are you -- ""proximate cause"". Are you saying now that that's not necessary, that as long as you say ""reasonable and foreseeable"", you would be satisfied? So why use it at all? If you think that ""reasonable"" or ""foreseeable"" are less confusing words, why shouldn't we just tell the jury to use those words instead? But wasn't the theory different, Mr. Rothfeld? Wasn't the theory that the configuration of the train made the braking and the switching much more difficult for the person in this position? I'm sorry, Mr. Rothfeld, I didn't understand what you just said, because the requested jury instruction that -- that you gave was any cause which in natural or probable sequence produced the injury. Is that right? So that's essentially saying that the jury has to say it's 51 percent likely to produce the injury, isn't that right? Well, it says natural or probable, and probable means more likely than not, which is 51 percent. ",mr rothfeld could you explain to me how it would have make a difference in this case that instruction mr rothfeld be there any case like that in the fela world you know i take it that this basic instruction that be give in this case be the instruction that be give in most case if you look across the range of case do you find juror award damage in the kind of situation that you be talk about in other word be this a real world problem mr rothfeld your instruction actually use the term probable because be you proximate because be you say now that that be not necessary that as long as you say reasonable and foreseeable you would be satisfy so why use it at all if you think that reasonable or foreseeable be less confusing word why should not we just tell the jury to use those word instead but be not the theory different mr rothfeld be not the theory that the configuration of the train make the braking and the switch much more difficult for the person in this position I be sorry mr rothfeld i do not understand what you just say because the requested jury instruction that that you give be any because which in natural or probable sequence produce the injury be that right so that be essentially say that the jury have to say it be percent likely to produce the injury be not that right well it say natural or probable and probable mean more likely than not which be percent ,79.62,Roberts Court,"Mar 28, 2011","CSX Transportation, Inc.",Robert McBride,10-235,"Nov 29, 2010","Jun 23, 2011",114.0,0.0,0.0,0.0,1
2010,"Wal-Mart Stores, Inc. v. Dukes",114,Elena Kagan,"I don't think that's quite fair, Mr. Boutrous. I think their argument was that the common policy was one of complete subjectivity, was one of using factors that allowed gender discrimination to come into all employment decisions. And in Watson, we suggested that that was a policy, a policy of using subjective factors only, when making employment decisions. That's exactly the policy that was alleged here. I -- I guess I'm just a little -- a little bit confused as to why excessive subjectivity is not a policy that can be alleged in a Title VII pattern and practice suit or in a Title VII disparate impact suit. Mr. Boutrous, I think that that suggests that the plaintiffs would have to demonstrate discrimination in every individual case, and that's never been the law. All that the plaintiffs have to demonstrate and, especially at this stage in the proceedings, is that there is a practice, a policy of subjectivity that on the whole results in discrimination against women, not that each one of these women in the class were themselves discriminated against. I thought your position was that this could not be certified under Rule 23(b)(3), either; is that correct? But you're not suggesting that they would be precluded on individual discrimination claims, are you? Mr. Sellers, could I take you back to the remedial question here-- --and when you think it is that individualized hearings are required? You've described a kind of formula that you would use. When -- when -- when is the formula approach right and when is the individual hearings approach right? ",i do not think that be quite fair mr boutrous i think their argument be that the common policy be one of complete subjectivity be one of use factor that allow gender discrimination to come into all employment decision and in watson we suggest that that be a policy a policy of use subjective factor only when make employment decision that be exactly the policy that be allege here i i guess I be just a little a little bit confuse as to why excessive subjectivity be not a policy that can be allege in a title vii pattern and practice suit or in a title vii disparate impact suit mr boutrous i think that that suggest that the plaintiff would have to demonstrate discrimination in every individual case and that be never be the law all that the plaintiff have to demonstrate and especially at this stage in the proceeding be that there be a practice a policy of subjectivity that on the whole result in discrimination against woman not that each one of these woman in the class we be themselves discriminate against i think your position be that this could not be certify under rule b either be that correct but you be not suggest that they would be preclude on individual discrimination claim be you mr seller could i take you back to the remedial question here and when you think it be that individualized hearing be require you have describe a kind of formula that you would use when when when be the formula approach right and when be the individual hearing approach right ,95.99,Roberts Court,"Mar 29, 2011","Wal-Mart Stores, Inc.","Betty Dukes, et al.",10-277,"Dec 6, 2010","Jun 20, 2011",114.0,1.0,0.0,0.0,0
2010,Turner v. Rogers,114,Elena Kagan,"Mr. Waxman-- --suppose the Court thinks that -- suppose the Court looks at this record and thinks this is a broken system and a violation of due process, but requiring a counsel in every case may go too far, and there may, in fact, be alternate procedures that a State could adopt that would comply with due process. And I know that this is not your submission, it's instead the solicitor general's submission, but if pressed on that point, what procedures do you think would be capable of giving a person in this situation a fair shake at this? Ms. Kruger, you say that the procedures here were inadequate, but that counsel in every case is not necessarily required. You say alternate procedures can provide people in this situation with a fair shake. But then when you look at the procedures that you actually say would comply with due process, they are remarkably anemic. Basically, you say that a form has to be provided. You don't require that there be anybody attached to the court, the kind of person that Justice Powell might have been talking about in Vitek, some kind of caseworker to assist the person with whatever questions he might have about the form or about how to fill it out. You don't require that the court make any findings. You don't require that the court even ask any questions. Apparently, your idea of the procedure is just to give a person a form. Am I reading you right? Ms. Kruger, could you say a bit more about the question that Mr. Waxman and Justice Scalia were talking about: how often these proceedings have the State on one side, how often they have the custodial parent on one side, whether there is counsel for the opposite side in many of these cases? Well, we couldn't really tell, could we, Mr. Bibas? Because he completely ignored the question. The entire transcript is less than two pages long. Mr. Turner talked about how he had no money and he was disabled. The court completely ignored him. The court also ignored the questions on the form for the order of contempt about whether he had any money. The court ignored that as well. Practically when those forms are used, the person fills out a form, and mostly they're just accepted, aren't they? ",mr waxman suppose the court think that suppose the court look at this record and think this be a broken system and a violation of due process but require a counsel in every case may go too far and there may in fact be alternate procedure that a state could adopt that would comply with due process and i know that this be not your submission it be instead the solicitor general s submission but if press on that point what procedures do you think would be capable of give a person in this situation a fair shake at this ms kruger you say that the procedure here we be inadequate but that counsel in every case be not necessarily require you say alternate procedure can provide people in this situation with a fair shake but then when you look at the procedure that you actually say would comply with due process they be remarkably anemic basically you say that a form have to be provide you do not require that there be anybody attach to the court the kind of person that justice powell might have be talk about in vitek some kind of caseworker to assist the person with whatever question he might have about the form or about how to fill it out you do not require that the court make any finding you do not require that the court even ask any question apparently your idea of the procedure be just to give a person a form be i reading you right ms kruger could you say a bit more about the question that mr waxman and justice scalia we be talk about how often these proceeding have the state on one side how often they have the custodial parent on one side whether there be counsel for the opposite side in many of these case well we could not really tell could we mr bibas because he completely ignore the question the entire transcript be less than two page long mr turner talk about how he have no money and he be disable the court completely ignore him the court also ignore the question on the form for the order of contempt about whether he have any money the court ignore that as well practically when those form be use the person fill out a form and mostly they be just accept be not they ,136.31999999999996,Roberts Court,"Mar 23, 2011",Michael D. Turner,"Rebecca L. Rogers, et al.",10-10,"Nov 1, 2010","Jun 20, 2011",114.0,1.0,0.0,0.0,0
2010,"Erica P. John Fund, Inc. v. Halliburton Co.",114,Elena Kagan,"Mr. Boies, what's the difference then? Why could that be disputed at the certification stage, but not the question of price impact? Well, how about materiality? Could you rebut materiality at the certification stage? Well, now I'm a little confused, because the efficient market and materiality are all part of the prima facie case triggering the Basic presumption. So, why couldn't you rebut one part of that case but not another part of that case? Well, whether there's an efficient market is also common to all members of the class, so why would you make an exception for that? But, Mr. Sterling, if I think -- if I disagree with you and I think that Oscar said that loss causation needs to be shown at the certification stage, you agree that that is not a correct statement of the law; is that correct? Mr. Sterling, I wasn't sure what argument you were making in your brief. One possible argument you could be making is that the plaintiffs have to show a price impact. Another possible argument you could be making is that you have to have the opportunity to rebut the plaintiff's use of the Basic presumption by yourself showing that there was no price impact. And you seemed often to be saying the first, even though I would think that the second is the most you can make as a -- as a plausible argument. Mr. Sterling, maybe this is just to repeat Justice Ginsburg's question, but what else is there? I mean, what would not be proper to introduce in the way that you're talking about at the certification stage? The Fifth Circuit suggested that scienter could come in at the -- at the certification stage. You're disclaiming that? On your rebuttal proof point, you said just now that all you had to do was come forward with some evidence, but that the burden remains on the plaintiff. Is that -- what kind of evidence do you think you have to come forward with in order to flip the burden back to the plaintiff? So you're saying you can put an expert on the stand and the expert will say there was no price impact, and then the plaintiffs have to make the case that there, in fact, was a -- a price impact at the certification stage, that the plaintiffs have to prove that by a preponderance? Once you put a expert on the -- on the stand. Well, that does suggest that the Basic presumption isn't worth much in your world. That you put an expert on the stand, and the Basic presumption falls away, and the plaintiffs have to actually prove their case at that very early stage that there was no price impact. ",mr boy what be the difference then why could that be dispute at the certification stage but not the question of price impact well how about materiality could you rebut materiality at the certification stage well now I be a little confused because the efficient market and materiality be all part of the prima facie case trigger the basic presumption so why could not you rebut one part of that case but not another part of that case well whether there be an efficient market be also common to all member of the class so why would you make an exception for that but mr sterling if i think if i disagree with you and i think that oscar say that loss causation need to be show at the certification stage you agree that that be not a correct statement of the law be that correct mr sterling i be not sure what argument you we be make in your brief one possible argument you could be make be that the plaintiff have to show a price impact another possible argument you could be make be that you have to have the opportunity to rebut the plaintiff s use of the basic presumption by yourself show that there be no price impact and you seem often to be say the first even though i would think that the second be the most you can make as a as a plausible argument mr sterling maybe this be just to repeat justice ginsburg s question but what else be there i mean what would not be proper to introduce in the way that you be talk about at the certification stage the fifth circuit suggest that scienter could come in at the at the certification stage you be disclaim that on your rebuttal proof point you say just now that all you have to do be come forward with some evidence but that the burden remain on the plaintiff be that what kind of evidence do you think you have to come forward with in order to flip the burden back to the plaintiff so you be say you can put an expert on the stand and the expert will say there be no price impact and then the plaintiff have to make the case that there in fact be a a price impact at the certification stage that the plaintiff have to prove that by a preponderance once you put a expert on the on the stand well that do suggest that the basic presumption be not worth much in your world that you put an expert on the stand and the basic presumption fall away and the plaintiff have to actually prove their case at that very early stage that there be no price impact ,142.81,Roberts Court,"Apr 25, 2011","Erica P. John Fund, Inc., fka Archdiocese of Milwaukee Supporting Fund, Inc.","Halliburton Co., et al.",09-1403,"Jan 7, 2011","Jun 6, 2011",114.0,1.0,0.0,0.0,0
