term,caseName,justiceId,speakerName,text,cleanText,duration,decidedBy,arguedOn,petitioner,respondent,docket,grantedOn,decidedOn,justice,partyWinning,direction,majority,vote
2018,Republic of Sudan v. Harrison,116,Brett M. Kavanaugh,"What -- Why doesn't it? Why doesn't the United States accept it? What's the harm? But is there a more particular harm that comes from accepting it at an embassy? I understand that, but I'm more -- As a practical matter, as a practical matter, is that hard to accomplish? In other words, the system going forward, if we were to say you can't do it at embassies, is there a problem going under that mechanism? Are you aware of any problems trying to effectuate service generally under (a)(4)? It could, but are -- Does it -- But you're saying -- But the point -- Counsel, the point -- the point you're making is it's not a big deal to allow service at an embassy, even though the United States objects and even though, as Justice Breyer points out, no other country appears to allow that. And -- and my response in addition to that is, is it really a big deal to, from your perspective going forward, I know about this case, but going forward as a system, to go through the (a)(4) mechanism rather than (a)(3) at -- at an embassy? But that -- But I -- if I were starting afresh like the Chief Justice's first question, I -- I might agree with you, but the United States and all the countries in the Vienna Convention all seem to say, actually, it is a big deal. ",what why do not it why do not the united state accept it what be the harm but be there a more particular harm that come from accept it at an embassy i understand that but I be more as a practical matter as a practical matter be that hard to accomplish in other word the system go forward if we we be to say you can not do it at embassy be there a problem go under that mechanism be you aware of any problem try to effectuate service generally under a it could but be do it but you be say but the point counsel the point the point you be make be it be not a big deal to allow service at an embassy even though the united state object and even though as justice breyer point out no other country appear to allow that and and my response in addition to that be be it really a big deal to from your perspective go forward i know about this case but go forward as a system to go through the a mechanism rather than a at at an embassy but that but i if i we be start afresh like the chief justice s first question i i might agree with you but the united state and all the country in the vienna convention all seem to say actually it be a big deal ,72.88000000000002,Case pending,"Nov 7, 2018",Republic of Sudan,"Rick Harrison, et al.",16-1094,"Jun 25, 2018",,116.0,1.0,0.0,0.0,0
2018,United States v. Stitt,116,Brett M. Kavanaugh,"But I notice if -- if you're convicted three times of burglary for burglarizing an RV, you're on notice, presumably, if you look at the federal statutes and you then possess a firearm, that -- that those burglaries were of a structure, as Taylor said. I don't understand the notice point. But you would look at Taylor and you'd see it's citing the model -- Taylor's the case, right, focus on Taylor. It's a long time ago. It talks about other structures. It doesn't limit it to the '84 definition, cites the Model Penal Code, cites the LaFave Treatise, points out all the state statutes, and I think if you're convicted three separate times of breaking into an RV and look at that, those sources, you would be on some notice that you shouldn't be possessing a firearm under federal law. But Taylor -- Taylor does not do that, though, when it says other -- or other structures. Quite clearly, Taylor departs from the '84 statute in what it describes there, don't you agree, when it says ""or other structures""? Because the '84 Act only says building. And one of the -- I'm sorry to interrupt. And one of the reasons it departed, as I read the opinion, which is quite thorough, is it did a full excavation of the Model Penal Code, of the treatises, of the state statutes, and said the '84 definition does not reflect common understanding, as Judge Sutton described in detail in his opinion, of the common understanding at the time of what burglary entailed. What are you -- what are you -- What are you -- what are you basing that assertion on? Are these assertions about RVs you're -- Yes. But isn't that what the Model Penal Code had and some states already have? In other words, this is not something that would be created now. I understand, but that's always going to be the case that there will be some slight differences, right? I mean -- And you don't think ""adapted"" has a firm grounding, even though it's been around in most state statutes for -- or many state statutes? ",but i notice if if you be convict three time of burglary for burglarize an rv you be on notice presumably if you look at the federal statute and you then possess a firearm that that those burglary we be of a structure as taylor say i do not understand the notice point but you would look at taylor and you would see it be cite the model taylor s the case right focus on taylor it be a long time ago it talk about other structure it do not limit it to the definition cite the model penal code cite the lafave treatise point out all the state statute and i think if you be convict three separate time of break into an rv and look at that those source you would be on some notice that you should not be possess a firearm under federal law but taylor taylor do not do that though when it say other or other structure quite clearly taylor departs from the statute in what it describe there do not you agree when it say or other structure because the act only say building and one of the I be sorry to interrupt and one of the reason it depart as i read the opinion which be quite thorough be it do a full excavation of the model penal code of the treatise of the state statute and say the definition do not reflect common understanding as judge sutton describe in detail in his opinion of the common understanding at the time of what burglary entail what be you what be you what be you what be you base that assertion on be these assertion about rv you be yes but be not that what the model penal code have and some state already have in other word this be not something that would be create now i understand but that be always go to be the case that there will be some slight difference right i mean and you do not think adapt have a firm grounding even though it be be around in most state statute for or many state statute ,125.39999999999996,Roberts Court,"Oct 9, 2018",United States of America,"Victor J. Stitt, II",17-765,"Apr 23, 2018","Dec 10, 2018",116.0,1.0,0.0,0.0,0
2018,"Knick v. Township of Scott, Pennsylvania",116,Brett M. Kavanaugh,,,0.0,Case pending,"Oct 3, 2018",Rose Mary Knick,"Township of Scott, Pennsylvania",17-647,"Mar 5, 2018",,116.0,1.0,0.0,0.0,0
2018,Culbertson v. Berryhill,116,Brett M. Kavanaugh,"But most of the claimants are, of course -- do not have much money, and the statute, as Justice Ginsburg says, puts a 25 percent cap on what -- on how it's going to -- the pool, I guess, is the -- from which it's going to be paid by the agency. Doesn't that suggest that Congress thought that there would be an aggregate cap because, A, there is the pool cap, and then, as Justice Sotomayor says, we don't expect lawyers to go after claimants who, by definition, often can't work and often don't have much money? (a)(4), I thought, established a 25 percent cap on the pool, the statute itself. You said it didn't come from the statute. Maybe I'm misreading something. Well, it seems very clear. It says 25 percent. But that -- that pool established under (a)(4) is the only pool, that Justice Ginsburg has been referencing, that's the only pool, correct? That's capped, the pool is capped by statute at 25 percent? The regulations interpreting that do cap the pool then at 25 percent as well? A different argument, but -- Right. Right. I understand that. And it comes ultimately from an interpretation of the statute. Maybe you're saying it's not mandated by the statute. Right, that's what I mean by saying it's not -- maybe it's not mandated by the statute, is your point. But we're told by the amicus brief of the disability attorneys that that almost never happens. That they try to get the money directly from the client. Now maybe that's not correct, but that's what -- Right. You -- you obviously have a good textual argument. I think the point is your brief then goes to great lengths to say don't worry about taking 50 percent from disability claimants because district courts won't allow that under the reasonableness prong. And the -- the amicus brief of disability attorneys say don't worry about that seemingly extreme 50 percent fee because that never really happens in practice. Both of which suggest that this system was not designed to be one where you're getting 50 percent. You still have a strong textual argument. I'm not -- Right. I understand -- I understand that. Well, what's your definition of ""smaller"" versus ""more substantial"" that you used in response to Justice Kagan's question? The money's coming right out of the claimant's pocket. Right. Right. It comes right out of the claimant's pocket, and it -- and it's unusual to have a 50 percent chunk out of a claimant's -- out of a party's pocket. Yeah, I said unusual, yeah. Well, it's low stakes for the attorney, but it's high stakes for the claimant. That's -- that's where -- I'm sorry to belabor this, but that's where the amicus briefs of the disabled -- disability attorneys comes in because they say they usually agree not to take more than 25 percent. So I'm not sure how your point about the incentive structure actually fits what's going on in those areas -- -- where there's not a cap. Exactly. So you don't need 50 percent to incentivize. Congress used the phrase ""in the aggregate"" in one place that they rely on as well as part of the textual argument, which is the title -- the subchapter, the 2 and the 16 benefits they use ""in the aggregate"" there and don't use it here. Do you have a -- It sounds like you're saying they didn't -- Congress didn't think through -- -- in its language the exact situation on the ground. But I don't know what we're supposed to necessarily do with that. I mean, it seems -- to support your point, it seems almost absurd that Congress would have wanted litigation or actions by disability attorneys against disability claimants. That -- -- that said, the ""in the aggregate"" is missing and the text is a problem, as -- as you acknowledge. ",but most of the claimant be of course do not have much money and the statute as justice ginsburg say put a percent cap on what on how it be go to the pool i guess be the from which it be go to be pay by the agency do not that suggest that congress think that there would be an aggregate cap because a there be the pool cap and then as justice sotomayor say we do not expect lawyer to go after claimant who by definition often can not work and often do not have much money a i thought establish a percent cap on the pool the statute itself you say it do not come from the statute maybe I be misread something well it seem very clear it say percent but that that pool establish under a be the only pool that justice ginsburg have be reference that be the only pool correct that be cap the pool be cap by statute at percent the regulation interpret that do cap the pool then at percent as well a different argument but right right i understand that and it come ultimately from an interpretation of the statute maybe you be say it be not mandate by the statute right that be what i mean by say it be not maybe it be not mandate by the statute be your point but we be tell by the amicus brief of the disability attorney that that almost never happen that they try to get the money directly from the client now maybe that be not correct but that be what right you you obviously have a good textual argument i think the point be your brief then go to great lengths to say do not worry about take percent from disability claimant because district court will not allow that under the reasonableness prong and the the amicus brief of disability attorney say do not worry about that seemingly extreme percent fee because that never really happen in practice both of which suggest that this system be not design to be one where you be get percent you still have a strong textual argument I be not right i understand i understand that well what be your definition of small versus more substantial that you use in response to justice kagan s question the money s come right out of the claimant s pocket right right it come right out of the claimant s pocket and it and it be unusual to have a percent chunk out of a claimant s out of a party s pocket yeah i say unusual yeah well it be low stake for the attorney but it be high stake for the claimant that be that be where I be sorry to belabor this but that be where the amicus brief of the disabled disability attorney come in because they say they usually agree not to take more than percent so I be not sure how your point about the incentive structure actually fit what be go on in those area where there be not a cap exactly so you do not need percent to incentivize congress use the phrase in the aggregate in one place that they rely on as well as part of the textual argument which be the title the subchapter the and the benefit they use in the aggregate there and do not use it here do you have a it sound like you be say they do not congress do not think through in its language the exact situation on the ground but i do not know what we be suppose to necessarily do with that i mean it seem to support your point it seem almost absurd that congress would have want litigation or action by disability attorney against disability claimant that that say the in the aggregate be miss and the text be a problem as as you acknowledge ,220.88,Roberts Court,"Nov 7, 2018",Richard Allen Culbertson,"Nancy A. Berryhill, Deputy Commissioner for Operations, Social Security Administration",17-773,"May 21, 2018","Jan 8, 2019",116.0,1.0,0.0,0.0,0
2018,Helsinn Healthcare S.A. v. Teva Pharmaceuticals USA Inc.,116,Brett M. Kavanaugh,"Why not? I don't -- and if it's sold, it's pretty hard to say something that has been sold was not on sale. Isn't it always the case that if you offer it to even one person or to a small group of people, it's on sale? I -- I guess I'm not understanding that. Doesn't commercial exploit -- exploitation also undergird the bar? If that was a -- -- if that was a clarification, it was a terrible clarification because there were a lot of efforts, as you well know, to actually change the ""on sale"" language, and those all failed. You don't think it would have been easier to just change it directly, as many members of Congress tried to do repeatedly and failed? On -- on the first part of what you just said as to what the law was, the amicus brief, the Lemley amicus brief says the law has always treated secret sales and uses as prior art. Are you disagreeing with that? You -- Go ahead. You -- you mentioned the legislative history, but, here, isn't this a classic example of trying to snatch victory from defeat in some of the legislative statements? In other words, there was this law before, as Justice Kagan mentions, a huge effort to change it, lots of proposals to change it. They all fail, and then a couple statements said on the floor on which you're relying. I -- I think the legislative history, read as a whole, goes exactly contrary. What's wrong with thinking that way? But given your position -- I'm -- I'm sorry. Given your position, you have the wrong answer to the brownies hypothetical, I think, because -- As a term, it covers with nuts or without nuts, right? Maybe we lost the hypothetical. You were saying it was ambiguous -- (Laughter.) You were saying it's ambiguous. And I'm saying that is not ambiguous, right? And you were saying ""on sale"" is not ambiguous. Not -- You're saying it's not ambiguous, ""on sale""? Even though it says ""otherwise available to the public,"" it's still not ambiguous? Well, they cite the Paroline case as an example of a case where a term -- a statute was structured like this, and the term in the catch-all then was used to influence the interpretation of the preceding terms. Why is that different? ",why not i do not and if it be sell it have pretty hard to say something that have be sell be not on sale be not it always the case that if you offer it to even one person or to a small group of people it be on sale i i guess I be not understanding that do not commercial exploit exploitation also undergird the bar if that be a if that be a clarification it be a terrible clarification because there we be a lot of effort as you well know to actually change the on sale language and those all fail you do not think it would have be easy to just change it directly as many member of congress try to do repeatedly and fail on on the first part of what you just say as to what the law be the amicus brief the lemley amicus brief say the law have always treat secret sale and us as prior art be you disagree with that you go ahead you you mention the legislative history but here be not this a classic example of try to snatch victory from defeat in some of the legislative statement in other word there be this law before as justice kagan mention a huge effort to change it lot of proposal to change it they all fail and then a couple statement say on the floor on which you be rely i i think the legislative history read as a whole go exactly contrary what be wrong with think that way but give your position I be I be sorry give your position you have the wrong answer to the brownie hypothetical i think because as a term it cover with nut or without nut right maybe we lose the hypothetical you we be say it be ambiguous laughter you we be say it be ambiguous and I be say that be not ambiguous right and you we be say on sale be not ambiguous not you be say it be not ambiguous on sale even though it say otherwise available to the public it be still not ambiguous well they cite the paroline case as an example of a case where a term a statute be structure like this and the term in the catch all then be use to influence the interpretation of the preceding term why be that different ,121.72,Roberts Court,"Dec 4, 2018",Helsinn Healthcare S.A.,"Teva Pharmaceuticals USA, Inc., et al.",17-1229,"Jun 25, 2018","Jan 22, 2019",116.0,0.0,0.0,0.0,1
2018,Garza v. Idaho,116,Brett M. Kavanaugh,"Because the appeal would -- an appeal waiver never precludes any and all possible appeals? Right. Counsel, in addition to Justice Breyer's question of why complicate the law, or on top of that question, what practical harm has there been in those jurisdictions, those areas, that have applied the presumption? Because I haven't seen much evidence of practical problems from the presumption. But -- but it's very simple, I think you're agreeing -- -- for the court when they get an appeal, so to pick up Justice Ginsburg's point, if the appeal is reinstated, you get the appeal, well, most issues are probably going to be within the scope of the waiver and then there might be, in some cases, something outside the scope of the waiver. Oftentimes those are not meritorious, of course, and are quickly dealt with. Sometimes they are, though. It seems pretty simple for most appellate courts to deal with that, and I'm not sure there's any evidence of a problem. And if there's not evidence of a problem, why complicate the law, as Justice Breyer says? But -- but -- I'm sorry to interrupt, but I think you acknowledged that the appeal waiver gives up the appeal except in certain limited circumstances. And that goes to my point earlier. An appeal waiver never gives up everything. It can't. It can't. And because it never can give up everything, you've never actually forfeited the entire procedure. In terms of experience, does the federal government think that the experience of those circuits that have applied a presumption of prejudice has shown a problem? ",because the appeal would an appeal waiver never preclude any and all possible appeal right counsel in addition to justice breyer s question of why complicate the law or on top of that question what practical harm have there be in those jurisdiction those area that have apply the presumption because i have not see much evidence of practical problem from the presumption but but it be very simple i think you be agree for the court when they get an appeal so to pick up justice ginsburg s point if the appeal be reinstate you get the appeal well most issue be probably go to be within the scope of the waiver and then there might be in some case something outside the scope of the waiver oftentimes those be not meritorious of course and be quickly dealt with sometimes they be though it seem pretty simple for most appellate court to deal with that and I be not sure there be any evidence of a problem and if there be not evidence of a problem why complicate the law as justice breyer say but but I be sorry to interrupt but i think you acknowledge that the appeal waiver give up the appeal except in certain limited circumstance and that go to my point earlier an appeal waiver never give up everything it can not it can not and because it never can give up everything you have never actually forfeit the entire procedure in term of experience do the federal government think that the experience of those circuit that have apply a presumption of prejudice have show a problem ,90.72,Roberts Court,"Oct 30, 2018","Gilberto Garza, Jr.",Idaho,17-1026,"Jun 18, 2018","Feb 27, 2019",116.0,1.0,0.0,0.0,0
2018,"Return Mail, Inc. v. United States Postal Service",116,Brett M. Kavanaugh,"I was -- I was trying to figure out the difference between ex parte reexamination and these review procedures from your perspective, and I gather that the difference is that the PTO will be the final word within the executive branch if the ex parte reexamination procedure were the only avenue, whereas the Postal Service could seek judicial review against the office if dissatisfied, if the government's position prevailed? Is that the difference in the two review proceedings? That's -- that's the difference that Justice Gorsuch is identifying. You have agency versus agency in federal court. And, again, not unprecedented, but unusual. And why should we go down that road when there's ex parte reexamination process available? And why should we think that Congress wanted us to go down that road when they didn't put the estoppel protection in the -- in the -- at the back end? And you acknowledge that's unusual? And you acknowledge also, I think, that ex parte reexamination is a process available to the Postal Service in this instance to ask the PTO to engage in? Well, can't -- can't the -- I'm sorry to interrupt. Can't the executive branch agencies always communicate with one another? Well, why is that? Under Article II, I would think all components of the executive branch always are able to communicate with one another absent some rule to the contrary that Congress might try to insert. I think the -- Go ahead. But who deleted that, though? That -- that wasn't deleted by Congress, was it? It was the reviser who did that, right? Congress didn't do that? When you take a step back here and think about this case, there are provisions that specifically give the government the same rights as persons, 207 and other provisions in this statute. We don't have them here, obviously. That's what raises the question. So, as Justice Sotomayor says, we have the presumption that the government is not a person. And then we look at the context. And you've said the context supports you. But there are contextual points that seem to cut the other way. And just to summarize them, you still have ex parte reexamination available, so it's not as if Congress would have thought the government's cut out entirely. If your position wins, you have the anomaly, which can be overcome, but it is an anomaly of government against government lawsuits in federal court. And, third, even though you're trying to make the best of it, the estoppel would be very different and not part of the bargain that seems to have been part of what Congress put in place here in terms of the system. So those are all contextual points that actually cut against you, it seems to me, where your burden, because we start from the baseline of the government's not a person, is you need the context to strongly support you. So that's just the kind of stepping back summary of things I see as problems. You can respond to them as you see fit. If you were -- if you were not to prevail here, what would the real world problems be for the government? ",i be i be try to figure out the difference between ex parte reexamination and these review procedure from your perspective and i gather that the difference be that the pto will be the final word within the executive branch if the ex parte reexamination procedure we be the only avenue whereas the postal service could seek judicial review against the office if dissatisfy if the government s position prevail be that the difference in the two review proceeding that be that be the difference that justice gorsuch be identify you have agency versus agency in federal court and again not unprecedented but unusual and why should we go down that road when there be ex parte reexamination process available and why should we think that congress want us to go down that road when they do not put the estoppel protection in the in the at the back end and you acknowledge that be unusual and you acknowledge also i think that ex parte reexamination be a process available to the postal service in this instance to ask the pto to engage in well can not can not the I be sorry to interrupt can not the executive branch agency always communicate with one another well why be that under article ii i would think all component of the executive branch always be able to communicate with one another absent some rule to the contrary that congress might try to insert i think the go ahead but who delete that though that that be not delete by congress be it it be the reviser who do that right congress do not do that when you take a step back here and think about this case there be provision that specifically give the government the same right as person and other provision in this statute we do not have them here obviously that be what raise the question so as justice sotomayor say we have the presumption that the government be not a person and then we look at the context and you have say the context support you but there be contextual point that seem to cut the other way and just to summarize them you still have ex parte reexamination available so it be not as if congress would have think the government s cut out entirely if your position win you have the anomaly which can be overcome but it be an anomaly of government against government lawsuit in federal court and third even though you be try to make the best of it the estoppel would be very different and not part of the bargain that seem to have be part of what congress put in place here in term of the system so those be all contextual point that actually cut against you it seem to me where your burden because we start from the baseline of the government s not a person be you need the context to strongly support you so that be just the kind of step back summary of thing i see as problem you can respond to them as you see fit if you we be if you we be not to prevail here what would the real world problem be for the government ,178.16,Case pending,"Feb 19, 2019","Return Mail, Inc.",United States Postal Service,17-1594,"Oct 26, 2018",,116.0,1.0,0.0,0.0,0
2018,Obduskey v. McCarthy & Holthus LLP,116,Brett M. Kavanaugh,"But it's -- -- it's only expanding it for purposes of 1692f(6). That's the -- that means that it's something less than that, other than 1692f(6). At least that's the most natural or a natural way to read it. Your -- your point there, though, depends, right, on reading that language as referring to the repo guy, right? But then, when you turn to f(6), is that really just limited to the repo situation? The point being the language of f(6) seems a lot broader than just the repo situation, so then, when you go back to a, it seems odd to think that that's just limited to the repo situation, if I understand the interaction of the two provisions correctly. f(6) also describes non-judicial foreclosures. Right? f(6) does describe, by its terms, non-judicial foreclosures? You're trying to explain why this third sentence is in there -- and I understand that -- and then drawing the distinction between repo and non-judicial foreclosures. But correct me if I'm wrong about this: The history of how this came about was there was debate about whether those who enforce security interests would be covered under debt collection or -- debt collector or not. There were two polar positions, yes and no. And what Congress ended up with was something in between. Is that correct? And the something in between, though, it's hard to just read that in between language as repo and not non-judicial foreclosure. That's the heart of it for me. Well, that's true, but it's inherently communicating a message that you need to repay the debt or you're going to lose the house, as Justice Kagan says. You -- you referred earlier to common sense. Well, common sense tells you this is an effort to have you repay the debt. Why not? Why not? Even if the express words aren't there, everyone who gets something like that, who has the money, and wants to, will understand this is a -- this is a letter seeking to get you to repay. Exactly. The animating purpose is to tell you you need to pay or you're going to lose your house. Is it an either/or really? I mean, it can't be a both/and? But you're -- You are arguing, I think, that even if I disagree with you, we disagree with you on the first sentence, you win because of the third sentence, right? And on the third sentence, I guess the -- the responsive argument is that's an odd way for Congress to have excluded those who enforce security interests from the broad definition of debt collectors and the repo example you heard. Can you respond to that? On the third sentence, I think what you're saying, but tell me if I'm wrong, is that even if we disagree with you on the first sentence, a necessary premise of the third sentence is that Congress, notwithstanding the broad language of the first sentence, must have thought that enforcement of security interests should be distinct from debt collection? Not really. I mean, this is a pretty unnatural way to do that too. ",but it be it be only expand it for purpose of f that be the that mean that it be something less than that other than f at least that be the most natural or a natural way to read it your your point there though depend right on reading that language as refer to the repo guy right but then when you turn to f be that really just limit to the repo situation the point be the language of f seem a lot broad than just the repo situation so then when you go back to a it seem odd to think that that be just limit to the repo situation if i understand the interaction of the two provision correctly f also describe non judicial foreclosure right f do describe by its term non judicial foreclosure you be try to explain why this third sentence be in there and i understand that and then draw the distinction between repo and non judicial foreclosure but correct me if I be wrong about this the history of how this come about be there be debate about whether those who enforce security interest would be cover under debt collection or debt collector or not there we be two polar position yes and no and what congress end up with be something in between be that correct and the something in between though it be hard to just read that in between language as repo and not non judicial foreclosure that be the heart of it for me well that be true but it be inherently communicate a message that you need to repay the debt or you be go to lose the house as justice kagan say you you refer early to common sense well common sense tell you this be an effort to have you repay the debt why not why not even if the express word be not there everyone who get something like that who have the money and want to will understand this be a this be a letter seek to get you to repay exactly the animate purpose be to tell you you need to pay or you be go to lose your house be it an eitheror really i mean it can not be a bothand but you be you be argue i think that even if i disagree with you we disagree with you on the first sentence you win because of the third sentence right and on the third sentence i guess the the responsive argument be that be an odd way for congress to have exclude those who enforce security interest from the broad definition of debt collector and the repo example you hear can you respond to that on the third sentence i think what you be say but tell me if I be wrong be that even if we disagree with you on the first sentence a necessary premise of the third sentence be that congress notwithstanding the broad language of the first sentence must have think that enforcement of security interest should be distinct from debt collection not really i mean this be a pretty unnatural way to do that too ,171.68000000000006,Case pending,"Jan 7, 2019",Dennis Obduskey,"McCarthy & Holthus LLP, et al.",17-1307,"Jun 28, 2018",,116.0,0.0,0.0,0.0,1
2018,BNSF Railway Company v. Loos,116,Brett M. Kavanaugh,"Your opposing counsel argues that Nierotko is discredited, that that case didn't follow the text; we shouldn't follow that methodology here. Can you respond to that? That's their argument. The court -- court of appeals relied heavily on the fact that Congress in '75 and '83 took out the reference to payment for time lost. But a lot of these -- -- a lot of these kind of arguments were made in Nierotko, and the Court rejected those in the -- admittedly, in the context of the Social Security Act, but why not follow the same interpretation here? The Cleveland Indians was about the allocation time period. It wasn't about the main holding of Nierotko in terms of how it departed from Nierotko. Is that -- True. But the precedent on point interprets -- says that time lost is part of services rendered or services performed in the context of the Social Security Act. So why not adhere to that same interpretation in this context at this point? Well, it's because the time allocation was changed. Yes. Yes. I understand that. But it changed -- you didn't need the language anymore, is -- is the argument, right? The ""time lost"" language anymore -- because the -- the allocation had changed? At least that's the argument. I thought a key move in the Eighth Circuit decision was interpreting Nierotko, and then it said we recently determined that that definition can't be imported into the RRTA because the FICA tax is payment for employment, which is defined broadly. But, in fact, Nierotko does go to services performed, which is equivalent, the argument is, to services rendered. So how do you respond to that part when you rely on the Eighth Circuit so specifically? That sentence jumps out at me. That's not what they were relying on. ",your oppose counsel argue that nierotko be discredit that that case do not follow the text we should not follow that methodology here can you respond to that that be their argument the court court of appeal rely heavily on the fact that congress in and take out the reference to payment for time lose but a lot of these a lot of these kind of argument we be make in nierotko and the court reject those in the admittedly in the context of the social security act but why not follow the same interpretation here the cleveland indian be about the allocation time period it be not about the main holding of nierotko in term of how it depart from nierotko be that true but the precedent on point interprets say that time lose be part of service render or service perform in the context of the social security act so why not adhere to that same interpretation in this context at this point well it be because the time allocation be change yes yes i understand that but it change you do not need the language anymore be be the argument right the time lose language anymore because the the allocation have change at least that be the argument i think a key move in the eighth circuit decision be interpret nierotko and then it say we recently determine that that definition can not be import into the rrta because the fica tax be payment for employment which be define broadly but in fact nierotko do go to service perform which be equivalent the argument be to service render so how do you respond to that part when you rely on the eighth circuit so specifically that sentence jump out at me that be not what they we be rely on ,100.76,Case pending,"Nov 6, 2018",BNSF Railway Company,Michael D. Loos,17-1042,"May 14, 2018",,116.0,1.0,0.0,0.0,0
2018,"Home Depot U.S.A., Inc. v. Jackson",116,Brett M. Kavanaugh,"Is Home Depot -- I'm sorry. Is Home Depot a defendant under 1453? And what -- what is it then? So, when it says any defendant, that doesn't include -- -- that kind of defendant? ",be home depot I be sorry be home depot a defendant under and what what be it then so when it say any defendant that do not include that kind of defendant ,10.2,Case pending,"Jan 15, 2019","Home Depot U.S.A., Inc.",George W. Jackson,17-1471,"Sep 27, 2018",,116.0,0.0,0.0,0.0,1
